"area_code","region_name","nuts1","rate_code","rate_name","best_lag_m","best_corr_val","n_overlap_best"
"E09000027","Richmond upon Thames","London (all boroughs)","CFMZ6JX","Fixed ≤2y",3,"-0.420","104"
"E09000027","Richmond upon Thames","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.498","101"
"E09000028","Southwark","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.221","101"
"E09000028","Southwark","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.240","101"
"E09000028","Southwark","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.225","101"
"E09000028","Southwark","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.187","95"
"E09000029","Sutton","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.484","101"
"E09000029","Sutton","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.478","101"
"E09000029","Sutton","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.469","101"
"E09000029","Sutton","London (all boroughs)","CFMZ6K3","Fixed 5y",12,"-0.523","95"
"E09000030","Tower Hamlets","London (all boroughs)","CFMZ6JM","New mortgages (all)",0,"-0.474","107"
"E09000030","Tower Hamlets","London (all boroughs)","CFMZ6JO","Floating rate",0,"-0.470","107"
"E09000030","Tower Hamlets","London (all boroughs)","CFMZ6JX","Fixed ≤2y",0,"-0.463","107"
"E09000030","Tower Hamlets","London (all boroughs)","CFMZ6K3","Fixed 5y",0,"-0.464","107"
"E09000031","Waltham Forest","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.265","101"
"E09000031","Waltham Forest","London (all boroughs)","CFMZ6JO","Floating rate",6,"-0.290","101"
"E09000031","Waltham Forest","London (all boroughs)","CFMZ6JX","Fixed ≤2y",6,"-0.274","101"
"E09000031","Waltham Forest","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.207","101"
"E09000032","Wandsworth","London (all boroughs)","CFMZ6JM","New mortgages (all)",24,"-0.314","83"
"E09000032","Wandsworth","London (all boroughs)","CFMZ6JO","Floating rate",3,"-0.259","104"
"E09000032","Wandsworth","London (all boroughs)","CFMZ6JX","Fixed ≤2y",24,"-0.349","83"
"E09000032","Wandsworth","London (all boroughs)","CFMZ6K3","Fixed 5y",24,"-0.325","83"
"E09000033","City of Westminster","London (all boroughs)","CFMZ6JM","New mortgages (all)",6,"-0.384","101"
"E09000033","City of Westminster","London (all boroughs)","CFMZ6JO","Floating rate",18,"-0.401","89"
"E09000033","City of Westminster","London (all boroughs)","CFMZ6JX","Fixed ≤2y",12,"-0.361","95"
"E09000033","City of Westminster","London (all boroughs)","CFMZ6K3","Fixed 5y",6,"-0.394","101"
"E11000005","West Midlands","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.630","101"
"E11000005","West Midlands","England (by parts)","CFMZ6JO","Floating rate",6,"-0.616","101"
"E11000005","West Midlands","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.618","101"
"E11000005","West Midlands","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.634","101"
"E12000001","North East","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.307","101"
"E12000001","North East","England (by parts)","CFMZ6JO","Floating rate",6,"-0.250","101"
"E12000001","North East","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.284","101"
"E12000001","North East","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.383","101"
"E12000002","North West","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.474","101"
"E12000002","North West","England (by parts)","CFMZ6JO","Floating rate",6,"-0.429","101"
"E12000002","North West","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.455","101"
